Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,learning_rate,max_depth,min_samples_split,n_estimators,mse,r2,test_mse,test_r2,Model,Data,Original Run ID,Train Data
2025-03-20 21:28:04,2.6s,c3838bdccaba49fcbc02adb1ec2f5834,selective-perch-707,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,2,200,0.0005236168997209490,0.9025867116506130,,,random-forest,,,all-features
2025-03-20 21:30:16,2.6s,edc91259e41f442c8ca34752422406ad,powerful-bass-502,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,2,100,0.0005269514967713570,0.9019663457606400,,,random-forest,,,all-features
2025-03-20 21:30:00,2.0s,eb01d176632f4688b4ff142b4a766060,stylish-gull-205,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,None,2,100,0.0005294661023255800,0.9014985304627210,,,random-forest,,,all-features
2025-03-20 21:30:25,2.4s,a607c59f613d42a9b47cbcc17a0a3c0b,abundant-shoat-48,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,None,5,200,0.0005299852482397920,0.9014019489531020,,,random-forest,,,all-features
2025-03-20 21:30:45,2.5s,c010308c6b094e5eac1eeb2880604644,victorious-fly-191,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,5,200,0.000530791910289356,0.9012518781611240,,,random-forest,,,all-features
2025-03-20 21:28:06,2.4s,1ba67bf5f0d7471ea5cc0e043ae66e45,marvelous-hog-863,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,5,200,0.000530791910289356,0.9012518781611240,,,random-forest,,,all-features
2025-03-20 21:30:36,2.4s,caa2df40c4934ed090eac7ccf2abee4e,wise-quail-988,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,2,200,0.0005336985280953370,0.9007111332031090,,,random-forest,,,all-features
2025-03-20 21:27:57,2.5s,4ef81c86b28a4ec1bcb299adbe5b5a4f,big-stag-775,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,2,200,0.0005336985280953370,0.9007111332031090,,,random-forest,,,all-features
2025-03-20 21:30:19,2.2s,d8fa6b52e623492393bc24a676d87936,unique-owl-196,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,5,100,0.0005340164452432500,0.9006519881395760,,,random-forest,,,all-features
2025-03-20 21:29:55,1.6s,60907b2fac8245b199e51fa46e0891c9,clean-worm-60,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,2,50,0.0005341445279411880,0.9006281597322160,,,random-forest,,,all-features
