Games,At-bat,Runs,Hits,Double,Triple,HR,RBI,Walk,Strikeouts,stolen base ,Caught stealing,AVG,On-base Plus Slugging
1544.0,4930.0,587.0,1211.0,215.0,59.0,46.0,439.0,569.0,519.0,82.0,62.0,0.246,0.665
829.0,2829.0,458.0,715.0,125.0,28.0,74.0,266.0,294.0,550.0,169.0,53.0,0.253,0.718
976.0,3215.0,471.0,864.0,192.0,5.0,118.0,492.0,466.0,784.0,24.0,5.0,0.269,0.809
1030.0,3083.0,391.0,730.0,129.0,30.0,123.0,401.0,341.0,864.0,43.0,18.0,0.237,0.732
1047.0,3372.0,319.0,849.0,176.0,3.0,80.0,395.0,175.0,514.0,10.0,19.0,0.252,0.667
1331.0,5206.0,712.0,1480.0,232.0,45.0,107.0,492.0,302.0,782.0,205.0,71.0,0.284,0.738
855.0,2864.0,368.0,746.0,164.0,19.0,113.0,444.0,268.0,520.0,19.0,12.0,0.26,0.775
1977.0,7023.0,986.0,1925.0,307.0,47.0,348.0,1239.0,666.0,1419.0,51.0,31.0,0.274,0.818
992.0,2769.0,337.0,801.0,155.0,12.0,98.0,422.0,170.0,444.0,29.0,21.0,0.289,0.798
1009.0,3605.0,515.0,937.0,187.0,23.0,166.0,532.0,183.0,1103.0,90.0,32.0,0.26,0.765
1067.0,3587.0,522.0,992.0,192.0,40.0,147.0,530.0,444.0,679.0,106.0,61.0,0.277,0.831
1354.0,4652.0,657.0,1463.0,300.0,59.0,69.0,784.0,412.0,279.0,47.0,49.0,0.314,0.821
1359.0,5326.0,773.0,1498.0,265.0,72.0,71.0,490.0,515.0,716.0,185.0,59.0,0.281,0.745
1904.0,6296.0,790.0,1700.0,276.0,72.0,84.0,729.0,594.0,551.0,101.0,63.0,0.27,0.711
2302.0,10430.0,1736.0,3430.0,640.0,252.0,101.0,1732.0,963.0,327.0,722.0,15.0,0.329,0.858
1991.0,6432.0,867.0,1912.0,396.0,64.0,236.0,1179.0,703.0,697.0,28.0,7.0,0.297,0.859
